util_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.26871858432491635,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_linear
0.26871858432491635,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_max
0.2951023023093542,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_min
0.24978425532287857,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_linear
0.2502353621532714,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_max
0.24857660259605757,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_min
0.27135817834447046,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_linear
0.27135817834447046,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_max
0.2887317017445576,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_min
0.2509406369309583,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_linear
0.25063048343623723,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_max
0.24800369913507816,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_min
0.2679680429091376,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_99_linear
0.2679680429091376,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_99_max
0.2838652953930382,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_99_min
0.25095976740350817,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_9_linear
0.2506630432148873,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_9_max
0.25235553603438954,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_9_min
0.2749905893734011,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_99_linear
0.2749905893734011,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_99_max
0.2850261357241213,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_99_min
0.25127680105300976,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_9_linear
0.2509348014600822,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_9_max
0.25431946912941544,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_ind_9_min
0.2749012246475575,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_none_99_linear
0.2749012246475575,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_none_99_max
0.28500745001680683,ac,lm_mrfr_err_aug0.5_mpt_20_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_20_0.1_author_none_99_min
